2012-04-12 17:37:35 - recordStock_Data.php - Just fetched 174stocks for transfer!
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched 174 stocks for transfer!
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ACCS
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ARM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAMB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAUM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BBK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BERG
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BOC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BRIT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: C&G
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CABL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CARB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CFC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CFCI
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CITY
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CMC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: COOP
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: DTK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EABL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EGAD
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EQTY
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EVRD
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: FIRE
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: HFCK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ICDC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: JUB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KAPC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KCB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KEGN
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KENO
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KNRE
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KPLC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KQ
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: KUKZ
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: LIMT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: MASH
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: MSC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: NBK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: NIC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: NMG
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: OCH
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ORCH
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: PAFR
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: PORT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: REA
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: SASN
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: SCAN
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: SCBK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: SCOM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: SGL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: TCL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: TOTL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: TPSE
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: UCHM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: UNGA
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: UTK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: WTK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: XPRS
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ACCS
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: ARM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAMB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BAUM
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BBK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BERG
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BOC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: BRIT
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: C&G
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CABL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CARB
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CFC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CFCI
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CITY
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: CMC
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: COOP
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: DTK
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EABL
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EGAD
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EQTY
2012-04-12 17:38:59 - recordStock_Data.php - Just fetched companyID for Alias: EVRD
